Team,Res,Date,Opp,Loc,MIN,PTS,O-PPP,Pace,FGM,FGA,3FM,3FA,FTM,FTA,OREB,TmRb,REB,AST,STL,BLK,TO,F,Tm Pts
Air Force,"W, 67-38",11/9/2007,DART,H,200,67,1.317,48,22,41,5,13,18,25,5,0,27,13,8,13,3,16,0
Air Force,"W, 71-62",11/10/2007,NOCO,H,200,71,1.369,50,20,42,10,26,21,25,4,0,25,15,5,13,2,16,0
Air Force,"W, 52-47",11/19/2007,RAD,H,225,52,0.831,65,18,52,6,28,10,16,8,0,26,8,12,6,11,15,0
Air Force,"W, 58-40",11/23/2007,MVSU,V,200,58,0.954,60,22,41,7,17,7,8,2,0,28,18,2,0,18,23,0
Air Force,"L, 57-59",11/24/2007,MONT,H,200,57,1.073,51,20,50,8,21,9,15,4,0,24,12,4,6,0,16,0
Air Force,"L, 62-71",11/25/2007,WSU,N,200,62,1.04,61,19,46,9,23,15,16,4,0,21,12,6,2,10,21,0
Air Force,"L, 50-60",11/29/2007,COLO,H,200,50,0.861,58,19,44,5,17,7,17,7,0,28,11,3,3,13,17,0
Air Force,"L, 52-63",12/4/2007,NIU,V,200,52,0.8,64,17,46,4,16,14,19,12,0,29,8,10,1,22,21,0
Air Force,"W, 77-53",12/8/2007,PVAM,H,200,77,1.177,64,23,46,14,24,17,24,7,0,30,19,7,1,15,19,0
Air Force,"W, 65-53",12/13/2007,NORF,H,200,65,1.288,51,20,40,5,16,20,22,6,0,24,17,5,2,6,12,0
Air Force,"L, 67-78",12/30/2007,WF,V,200,67,1.038,66,21,42,14,25,11,18,4,0,26,12,3,1,18,25,0
Air Force,"L, 36-58",1/5/2008,UTAH,V,200,36,0.69,52,11,35,6,19,8,13,2,0,16,9,3,0,13,18,0
Air Force,"W, 65-53",1/12/2008,UNLV,H,200,65,1.094,58,21,34,9,19,14,24,2,0,23,15,5,2,16,17,0
Air Force,"W, 64-62",1/16/2008,WYO,V,225,64,0.99,64,22,50,13,27,7,14,5,0,22,13,6,1,13,19,0
Air Force,"L, 44-59",1/19/2008,NM,V,200,44,0.759,59,11,40,6,23,16,21,4,0,25,10,4,2,12,18,0
Air Force,"W, 75-59",1/22/2008,COST,H,200,75,1.206,64,20,41,6,14,29,32,4,0,29,12,3,2,10,17,0
Air Force,"L, 53-69",1/30/2008,BYU,H,200,53,0.908,60,16,41,5,15,16,24,4,0,23,8,8,1,10,14,0
Air Force,"W, 56-46",2/2/2008,TCU,V,200,56,1.021,56,21,38,9,19,5,6,3,0,22,12,6,3,17,14,0
Air Force,"L, 38-49",2/6/2008,SDSU,V,200,38,0.665,58,13,42,4,18,8,13,3,0,22,7,6,2,12,18,0
Air Force,"L, 59-67",2/9/2008,UTAH,H,200,59,1.02,58,18,40,5,17,18,27,1,0,17,12,8,1,6,17,0
Air Force,"L, 51-58",2/12/2008,UNLV,V,200,51,0.868,58,19,48,9,19,4,10,6,0,27,13,6,2,12,15,0
Air Force,"W, 72-66",2/16/2008,WYO,H,200,72,1.156,64,24,46,8,16,16,28,3,0,20,16,9,4,6,16,0
Air Force,"L, 51-68",2/20/2008,NM,H,200,51,0.901,56,17,37,6,18,11,16,3,0,21,9,5,2,15,15,0
Air Force,"W, 61-59",2/23/2008,COST,V,200,61,1,62,20,48,6,21,15,19,4,0,24,12,7,0,8,21,0
Air Force,"L, 57-76",3/1/2008,BYU,V,200,57,0.799,71,17,54,1,12,22,28,7,0,30,7,7,3,11,15,0
Air Force,"W, 57-36",3/5/2008,TCU,H,200,57,1.037,56,18,33,11,19,10,21,2,0,31,18,7,1,14,12,0
Air Force,"W, 46-43",3/8/2008,SDSU,H,200,46,0.861,54,14,35,5,15,13,22,2,0,24,9,8,1,10,14,0
Air Force,"L, 49-53",3/13/2008,SDSU,N,200,49,0.874,57,16,35,3,13,14,17,4,0,21,7,10,2,17,20,0
Akron,"L, 63-66",11/17/2007,POST,N,200,63,1.023,62,23,58,5,19,12,16,17,0,35,8,6,1,13,19,0
Akron,"W, 74-72",11/18/2007,TSU,N,200,74,1.14,63,26,52,8,24,14,23,11,0,22,17,5,3,13,21,0
Akron,"W, 71-51",11/24/2007,BING,H,200,71,1.002,66,23,55,8,25,17,27,12,0,29,15,7,2,15,22,0
Akron,"W, 67-65",11/26/2007,TEMP,H,200,67,0.996,68,21,50,9,21,16,28,11,0,32,13,4,1,15,20,0
Akron,"W, 96-71",12/1/2007,WYO,H,200,96,1.316,72,33,59,10,22,20,21,8,0,21,17,10,2,12,25,0
Akron,"L, 58-68",12/4/2007,WINT,V,200,58,0.864,66,22,62,7,27,7,15,15,0,34,11,6,1,13,25,0
Akron,"W, 96-49",12/8/2007,NCC,H,200,96,1.28,74,37,64,10,18,12,19,11,0,41,26,8,5,13,14,0
Akron,"W, 64-55",12/15/2007,APSU,V,200,64,1.03,63,23,54,9,24,9,15,9,0,32,11,7,3,10,17,0
Akron,"W, 88-70",12/19/2007,NCAT,H,200,88,1.287,70,28,61,13,31,19,26,15,0,34,14,8,3,10,23,0
Akron,"W, 79-59",12/21/2007,YSU,H,200,79,1.091,74,18,39,8,15,35,43,6,0,28,15,10,1,19,29,0
Akron,"W, 79-73",12/29/2007,UIC,H,200,79,1.068,72,26,62,10,22,17,21,7,0,28,18,6,2,9,14,0
Akron,"L, 81-83",1/2/2008,UD,V,250,81,1,80,28,63,9,26,16,21,10,0,32,17,8,7,18,24,0
Akron,"W, 69-54",1/5/2008,MIO,H,200,69,1.188,58,23,47,12,24,11,17,8,0,20,15,5,2,11,17,0
Akron,"W, 76-68",1/12/2008,BUFF,V,200,76,1.075,74,22,55,4,18,28,31,13,0,33,11,9,6,14,17,0
Akron,"W, 55-54",1/17/2008,OHIO,H,200,55,1.003,55,22,51,9,22,2,6,8,0,21,12,6,1,9,16,0
Akron,"W, 80-44",1/20/2008,BGSU,H,200,80,1.164,71,33,68,8,22,6,10,11,0,31,18,11,4,7,20,0
Akron,"L, 69-75",1/23/2008,KENT,V,200,69,1.028,66,23,52,12,28,11,15,15,0,24,14,4,1,23,27,0
Akron,"L, 64-65",1/26/2008,CMU,V,200,64,0.912,70,17,43,3,9,27,32,8,0,23,9,8,4,20,19,0
Akron,"W, 68-52",1/30/2008,TOL,H,200,68,1.01,68,26,54,12,28,4,7,6,0,31,14,5,4,16,15,0
Akron,"W, 80-61",2/2/2008,EMU,H,200,80,1.242,67,24,54,12,26,20,24,12,0,36,16,9,1,11,16,0
Akron,"L, 66-86",2/6/2008,WMU,V,200,66,0.972,65,20,51,10,25,16,23,8,0,18,12,7,2,14,22,0
Akron,"W, 70-61",2/9/2008,BSU,V,200,70,1.043,69,24,51,11,24,11,15,4,0,32,15,3,4,13,20,0
Akron,"L, 78-88",2/12/2008,NIU,H,200,78,0.987,76,28,68,8,27,14,19,7,0,21,13,8,2,9,19,0
Akron,"W, 65-56",2/16/2008,BGSU,V,200,65,0.979,65,21,55,5,16,18,24,10,0,28,6,8,8,10,16,0
Akron,"W, 56-52",2/19/2008,MIO,V,200,56,1.186,47,20,43,7,15,9,11,8,0,19,5,6,4,7,13,0
Akron,"L, 52-57",2/23/2008,VCU,H,200,52,0.866,60,17,60,6,25,12,17,18,0,37,11,9,1,10,20,0
Akron,"W, 76-56",3/1/2008,BUFF,H,200,76,1.044,73,20,47,13,22,23,29,8,0,28,14,7,1,20,18,0
