,ID,Name,Abbrev,Active,Nickname
team_376,376,Akron Zips,AKR,Y,Zips
team_344,344,Alabama Crimson Tide,ALA,Y,Crimson Tide
team_545,545,Alabama A&M Bulldogs,ALAM,Y,Bulldogs
team_238,238,Alabama State Hornets,ALST,Y,Hornets
team_540,540,Albany Great Danes,ALB,Y,Great Danes
team_242,242,Alcorn State Braves,ALC,Y,Braves
team_516,516,American Eagles,AMER,Y,Eagles
team_345,345,Appalachian State Mountaineers,APP,Y,Mountaineers
team_234,234,Arizona Wildcats,ARIZ,Y,Wildcats
team_225,225,Arizona State Sun Devils,ASU,Y,Sun Devils
team_235,235,Arkansas Razorbacks,ARK,Y,Razorbacks
team_346,346,Arkansas State Red Wolves,ARST,Y,Red Wolves
team_487,487,Arkansas-Little Rock Trojans,UALR,Y,Trojans
team_535,535,Arkansas-Pine Bluff Golden Lions,UAPB,Y,Golden Lions
team_298,298,Army Black Knights,ARMY,Y,Black Knights
team_348,348,Auburn Tigers,AUB,Y,Tigers
team_350,350,Austin Peay Governors,APSU,Y,Governors
team_352,352,BYU Cougars,BYU,Y,Cougars
team_454,454,Ball State Cardinals,BSU,Y,Cardinals
team_448,448,Baylor Bears,BAY,Y,Bears
team_543,543,Belmont Bruins,BELM,Y,Bruins
team_260,260,Bethune-Cookman Wildcats,BETH,Y,Wildcats
team_547,547,Binghamton Bearcats,BING,Y,Bearcats
team_244,244,Boise State Broncos,BOIS,Y,Broncos
team_427,427,Boston College Eagles,BC,Y,Eagles
team_270,270,Boston University Terriers,BU,Y,Terriers
team_453,453,Bowling Green Falcons,BGSU,Y,Falcons
team_366,366,Bradley Braves,BRAD,Y,Braves
team_246,246,Brown Bears,BRWN,Y,Bears
team_280,280,Bucknell Bison,BUCK,Y,Bison
team_521,521,Buffalo Bulls,BUFF,Y,Bulls
team_354,354,Butler Bulldogs,BUTL,Y,Bulldogs
team_529,529,Cal Poly Mustangs,POLY,Y,Mustangs
team_467,467,Cal State Fullerton Titans,CSF,Y,Titans
team_253,253,Cal State Northridge Matadors,CSN,Y,Matadors
team_340,340,California Golden Bears,CAL,Y,Golden Bears
team_355,355,Campbell Fightin Camels,CAMP,Y,Fightin Camels
team_505,505,Canisius Golden Griffins,CANI,Y,Golden Griffins
team_256,256,Central Connecticut Blue Devils,CCSU,Y,Blue Devils
team_455,455,Central Michigan Chippewas,CMU,Y,Chippewas
team_461,461,Charleston Southern Buccaneers,CHSO,Y,Buccaneers
team_489,489,Charlotte 49ers,CHAR,Y,49ers
team_436,436,Chattanooga Mocs,CHAT,Y,Mocs
team_397,397,Chicago State Cougars,CHIS,Y,Cougars
team_252,252,Cincinnati Bearcats,CINC,Y,Bearcats
team_368,368,Citadel Bulldogs,CITA,Y,Bulldogs
team_357,357,Clemson Tigers,CLEM,Y,Tigers
team_359,359,Cleveland State Vikings,CLST,Y,Vikings
team_420,420,Coastal Carolina Chanticleers,CCAR,Y,Chanticleers
team_391,391,Colgate Raiders,COLG,Y,Raiders
team_522,522,College of Charleston Cougars,COFC,Y,Cougars
team_254,254,Colorado Buffaloes,COLO,Y,Buffaloes
team_360,360,Colorado State Rams,COST,Y,Rams
team_508,508,Columbia Lions,COLU,Y,Lions
team_255,255,Connecticut Huskies,CONN,Y,Huskies
team_407,407,Coppin State Eagles,COPP,Y,Eagles
team_425,425,Cornell Big Red,CORN,Y,Big Red
team_456,456,Creighton Bluejays,CREI,Y,Bluejays
team_290,290,Dartmouth Big Green,DART,Y,Big Green
team_257,257,Davidson Wildcats,DAV,Y,Wildcats
team_259,259,Dayton Flyers,UD,Y,Flyers
team_363,363,DePaul Blue Demons,DEP,Y,Blue Demons
team_343,343,Delaware Blue Hens,DEL,Y,Blue Hens
team_492,492,Delaware State Hornets,DEST,Y,Hornets
