Model Number,Model Type,Model,AIC,BIC,Dispersion,Num Obs,Components,DF Residuals,DF Model,Total DF,Log Likelihood,Deviance,Pearson Chi2 Statistic,Pearson Chi2 Critical Value,Pearson Chi2 P-Value,Worse Than,Same As ,Best Worse Than,Best Same As,Consider
57,Poisson,PP100 ~ Offense + Defense + Is_Home + Is_Neutral,40899.37111,45702.6051,0,5570,4,4845,724,5569,-19724.68555,5386.725877,5351.46,5008.044799,3.14E-07,,,,,1
35,Poisson,PP100 ~ Offense + Defense + Is_Home + Offense:Is_Neutral + Defense:Is_Neutral,41240.97375,48767.14453,0,5570,5,4434,1135,5569,-19484.48688,4906.328519,4879.443004,4590.02463,2.24E-06,,,,,1
31,Poisson,PP100 ~ Offense + Defense + Is_Neutral + Offense:Is_Home + Defense:Is_Home,41559.83075,51133.17298,0,5570,5,4125,1444,5569,-19334.91538,4607.18552,4576.088067,4275.529608,7.80E-07,,,,,1
13,Poisson,PP100 ~ Offense + Defense + Offense:Is_Home + Defense:Is_Home + Offense:Is_Neutral + Defense:Is_Neutral,41901.65099,54197.93001,0,5570,6,3714,1855,5569,-19094.8255,4127.005762,4102.850942,3856.89099,6.19E-06,,,,,1
29,Poisson,PP100 ~ Offense + Defense + Is_Home + Is_Neutral + Offense:Is_Away + Defense:Is_Away,40899.37111,45702.6051,0,5570,6,4845,724,5569,-19724.68555,5386.725877,5351.46,5008.044799,3.14E-07,,57,,57,
43,Poisson,PP100 ~ Offense + Defense + Is_Home + Is_Away + Is_Neutral,40899.37111,45702.6051,0,5570,5,4845,724,5569,-19724.68555,5386.725877,5351.46,5008.044799,3.14E-07,,57,,57,
45,Poisson,PP100 ~ Offense + Defense + Is_Home + Offense:Is_Away + Defense:Is_Away,40907.78248,45704.39132,0,5570,5,4846,723,5569,-19729.89124,5397.137249,5362.498482,5009.061509,1.91E-07,"29, 11",65,29,65,
61,Poisson,PP100 ~ Offense + Defense + Is_Home + Is_Away,40907.78248,45704.39132,0,5570,4,4846,723,5569,-19729.89124,5397.137249,5362.498482,5009.061509,1.91E-07,"43, 25",65,43,65,
65,Poisson,PP100 ~ Offense + Defense + Is_Home,40907.78248,45704.39132,0,5570,3,4846,723,5569,-19729.89124,5397.137249,5362.498482,5009.061509,1.91E-07,"57, 43, 35, 29, 25, 11",,57,,
63,Poisson,PP100 ~ Offense + Defense + Offense:Is_Away + Defense:Is_Away,41028.12261,45818.1063,0,5570,4,4847,722,5569,-19791.06131,5519.477381,5488.834849,5010.078216,1.95E-10,"45, 29, 27, 23, 21, 11, 9, 7, 3, 1",71,45,71,
