GameDay,GameID,TeamID,Team,OpponentID,Opponent,Location,Division,Conference,Playoffs,WinOrLoss,PlayerType,MIN,PTS,FGM,FGA,3FM,3FA,FTM,FTA,REB,AST,STL,BLK,OREB,TO,PF
11/6/2023,1257666,392,Oklahoma State,581,Abilene Christian,H,,,,L,,195,59,23,56,5,23,8,20,32,13,9,2,6,12,16
11/6/2023,1257666,581,Abilene Christian,392,Oklahoma State,V,,,,W,,194,64,26,57,5,18,7,11,32,13,4,1,7,15,18
11/6/2023,1257667,440,Air Force,534,Portland State,H,,,,L,,197,55,20,50,6,25,9,19,33,13,6,2,8,12,24
11/6/2023,1257667,534,Portland State,440,Air Force,V,,,,W,,194,62,18,50,7,27,19,29,38,5,2,3,12,12,18
11/6/2023,1257668,376,Akron,559,South Dakota State,V,,,,W,,196,81,26,57,11,27,18,22,32,14,10,1,11,14,19
11/6/2023,1257668,559,South Dakota State,376,Akron,H,,,,L,,195,75,28,56,8,19,11,13,23,14,8,2,5,12,17
11/6/2023,1257669,344,Alabama,511,Morehead State,H,,,,W,,192,105,32,57,10,23,31,38,36,16,13,3,12,13,17
11/6/2023,1257669,511,Morehead State,344,Alabama,V,,,,L,,194,73,27,62,7,23,12,19,26,7,6,3,11,14,25
11/6/2023,1257670,238,Alabama State,465,Mississippi,V,,,,L,,195,59,17,62,9,25,16,21,38,9,6,3,7,11,20
11/6/2023,1257670,465,Mississippi,238,Alabama State,H,,,,W,,195,69,25,68,7,29,12,25,42,13,6,8,11,8,15
11/6/2023,1257671,235,Arkansas,242,Alcorn State,H,,,,W,,192,93,28,54,12,30,25,37,41,20,10,4,13,14,22
11/6/2023,1257671,242,Alcorn State,235,Arkansas,V,,,,L,,194,59,20,51,3,9,16,26,24,7,7,3,6,16,27
11/6/2023,1257672,328,Villanova,516,American,H,,,,W,,194,90,32,59,10,27,16,19,37,19,5,2,8,7,19
11/6/2023,1257672,516,American,328,Villanova,V,,,,L,,195,63,21,62,9,30,12,16,25,15,6,2,8,9,17
11/6/2023,1257673,234,Arizona,288,Morgan State,H,,,,W,,194,122,42,76,12,27,26,32,47,26,16,7,20,7,16
11/6/2023,1257673,288,Morgan State,234,Arizona,V,,,,L,,194,59,22,56,7,22,8,15,23,10,3,6,6,25,25
11/6/2023,1257674,325,Wisconsin,346,Arkansas State,H,,,,W,,194,105,39,60,6,12,21,30,30,17,7,3,6,14,24
11/6/2023,1257674,346,Arkansas State,325,Wisconsin,V,,,,L,,196,76,24,59,4,21,24,33,26,7,7,0,8,17,21
11/6/2023,1257675,405,Texas State,487,Arkansas-Little Rock,V,,,,L,,194,66,24,62,5,23,13,22,48,14,2,4,17,22,23
11/6/2023,1257675,487,Arkansas-Little Rock,405,Texas State,H,,,,W,,196,71,22,59,5,18,22,29,30,11,8,4,9,12,18
11/6/2023,1257676,437,Missouri,535,Arkansas-Pine Bluff,H,,,,W,,195,101,36,64,12,30,17,19,34,17,7,9,8,13,26
11/6/2023,1257676,535,Arkansas-Pine Bluff,437,Missouri,V,,,,L,,196,79,23,57,8,29,25,31,23,8,9,2,8,16,18
11/6/2023,1257677,298,Army,374,Marist,H,,,,L,,193,55,17,44,8,21,13,24,32,9,4,0,6,18,17
11/6/2023,1257677,374,Marist,298,Army,V,,,,W,,197,71,28,56,6,17,9,18,30,17,8,2,6,8,22
11/6/2023,1257678,350,Austin Peay,4000,ND1,H,,,,W,,195,90,31,66,17,41,11,22,31,17,11,2,7,5,17
11/6/2023,1257679,352,BYU,576,Houston Christian,H,,,,W,,195,110,40,84,15,43,15,18,56,27,7,1,19,9,17
11/6/2023,1257679,576,Houston Christian,352,BYU,V,,,,L,,193,63,26,60,3,16,8,16,23,8,6,1,1,15,12
11/6/2023,1257680,415,Washington,11197,Bellarmine,H,,,,W,,194,91,36,58,10,20,9,13,34,19,10,5,6,16,13
11/6/2023,1257680,11197,Bellarmine,415,Washington,V,,,,L,,196,57,21,61,7,23,8,11,25,12,7,0,9,19,16
11/6/2023,1257681,369,Georgia State,543,Belmont,V,,,,L,,195,87,36,76,7,19,8,14,34,14,6,1,9,6,19
11/6/2023,1257681,543,Belmont,369,Georgia State,H,,,,W,,196,89,32,60,8,20,17,22,31,19,3,4,5,12,13
11/6/2023,1257682,260,Bethune-Cookman,464,Minnesota,V,,,,L,,194,60,23,70,4,18,10,14,33,9,13,3,18,13,29
11/6/2023,1257682,464,Minnesota,260,Bethune-Cookman,H,,,,W,,195,80,24,46,5,17,27,35,33,17,9,4,7,17,16
11/6/2023,1257683,471,Northwestern,547,Binghamton,H,,,,W,,196,72,25,59,5,18,17,21,32,13,12,9,10,12,16
11/6/2023,1257683,547,Binghamton,471,Northwestern,V,,,,L,,195,61,22,53,7,23,10,12,27,16,4,9,8,19,19
11/6/2023,1257684,427,Boston College,434,Fairfield,H,,,,W,,195,89,33,67,11,27,12,15,39,15,6,7,10,13,17
11/6/2023,1257684,434,Fairfield,427,Boston College,V,,,,L,,197,70,26,68,10,27,8,13,32,9,8,2,11,14,16
11/6/2023,1257685,231,Northeastern,270,Boston University,H,,,,W,,195,67,23,53,6,19,15,18,33,13,8,2,6,12,8
11/6/2023,1257685,270,Boston University,231,Northeastern,V,,,,L,,194,58,23,57,9,24,3,6,28,10,9,3,6,13,18
11/6/2023,1257686,397,Chicago State,453,Bowling Green,V,,,,L,,195,41,14,56,4,16,9,15,29,6,8,1,7,15,19
11/6/2023,1257686,453,Bowling Green,397,Chicago State,H,,,,W,,194,70,26,59,7,28,11,20,44,13,4,6,9,13,17
11/6/2023,1257687,239,UAB,366,Bradley,H,,,,L,,221,71,25,74,3,19,18,29,44,8,11,1,18,11,14
11/6/2023,1257687,366,Bradley,239,UAB,V,,,,W,,221,73,25,58,10,30,13,16,38,16,9,6,5,14,20
11/6/2023,1257688,246,Brown,391,Colgate,V,,,,L,,195,70,25,61,10,29,10,22,33,12,8,7,10,14,17
11/6/2023,1257688,391,Colgate,246,Brown,H,,,,W,,195,72,25,52,6,18,16,22,32,12,8,3,4,11,21
11/6/2023,1257689,381,Manhattan,567,Bryant,V,,,,W,,194,61,24,63,1,16,12,15,41,7,8,4,9,12,20
11/6/2023,1257689,567,Bryant,381,Manhattan,H,,,,L,,193,59,21,61,9,23,8,20,39,12,5,7,13,13,14
11/6/2023,1257690,280,Bucknell,343,Delaware,H,,,,L,,194,57,21,54,10,28,5,13,30,12,11,2,6,15,24
11/6/2023,1257690,343,Delaware,280,Bucknell,V,,,,W,,197,78,27,53,10,23,14,28,37,15,6,5,7,14,15
11/6/2023,1257691,354,Butler,433,Eastern Michigan,H,,,,W,,193,94,36,63,6,22,16,19,35,20,9,2,6,10,14
11/6/2023,1257691,433,Eastern Michigan,354,Butler,V,,,,L,,195,55,19,59,8,24,9,15,31,11,4,0,11,18,20
11/6/2023,1257692,529,Cal Poly,4000,ND1,H,,,,W,,194,80,26,56,5,14,23,32,39,10,4,6,11,16,22
11/6/2023,1257693,402,Southern Utah,571,Cal State Bakersfield,V,,,,L,,196,72,24,70,9,26,15,23,33,12,6,1,17,8,16
