Team,Conference
Davidson Wildcats,A-10
Dayton Flyers,A-10
Duquesne Dukes,A-10
Fordham Rams,A-10
George Mason Patriots,A-10
George Washington Colonials,A-10
La Salle Explorers,A-10
Loyola Chicago Ramblers,A-10
Massachusetts Minutemen,A-10
Rhode Island Rams,A-10
Richmond Spiders,A-10
Saint Bonaventure Bonnies,A-10
Saint Joseph`s Hawks,A-10
Saint Louis Billikens,A-10
Virginia Commonwealth Rams,A-10
Boston College Eagles,ACC
Clemson Tigers,ACC
Duke Blue Devils,ACC
Florida State Seminoles,ACC
Georgia Tech Yellow Jackets,ACC
Louisville Cardinals,ACC
Miami (Fla.) Hurricanes,ACC
North Carolina State Wolfpack,ACC
North Carolina Tar Heels,ACC
Notre Dame Fightin` Irish,ACC
Pittsburgh Panthers,ACC
Syracuse Orange,ACC
Virginia Cavaliers,ACC
Virginia Tech Hokies,ACC
Wake Forest Demon Deacons,ACC
Albany Great Danes,A-EAST
Binghamton Bearcats,A-EAST
Bryant Bulldogs,A-EAST
Maine Black Bears,A-EAST
Maryland-Baltimore County Retrievers,A-EAST
Massachusetts-Lowell River Hawks,A-EAST
New Hampshire Wildcats,A-EAST
NJIT Highlanders,A-EAST
Vermont Catamounts,A-EAST
Charlotte 49ers,AMER
East Carolina Pirates,AMER
Florida Atlantic Owls,AMER
Memphis Tigers,AMER
North Texas Mean Green,AMER
Rice Owls,AMER
SMU Mustangs,AMER
South Florida Bulls,AMER
Temple Owls,AMER
Texas-San Antonio Roadrunners,AMER
Tulane Green Wave,AMER
Tulsa Golden Hurricane,AMER
UAB Blazers,AMER
Wichita State Shockers,AMER
Austin Peay Governors,A-SUN
Bellarmine Knights,A-SUN
Central Arkansas Bears,A-SUN
Eastern Kentucky Colonels,A-SUN
Florida Gulf Coast Eagles,A-SUN
Jacksonville Dolphins,A-SUN
Kennesaw State Owls,A-SUN
Lipscomb Bisons,A-SUN
North Alabama Lions,A-SUN
North Florida Ospreys,A-SUN
Queens (N.C.) Royals,A-SUN
Stetson Hatters,A-SUN
Illinois Fighting Illini,BIG10
Indiana Hoosiers,BIG10
Iowa Hawkeyes,BIG10
Maryland Terrapins,BIG10
Michigan State Spartans,BIG10
Michigan Wolverines,BIG10
Minnesota Golden Gophers,BIG10
Nebraska Cornhuskers,BIG10
Northwestern Wildcats,BIG10
Ohio State Buckeyes,BIG10
Penn State Nittany Lions,BIG10
Purdue Boilermakers,BIG10
Rutgers Scarlet Knights,BIG10
Wisconsin Badgers,BIG10
UCF Knights,BIG12
Baylor Bears,BIG12
Cincinnati Bearcats,BIG12
Houston Cougars,BIG12
Iowa State Cyclones,BIG12
Kansas Jayhawks,BIG12
Kansas State Wildcats,BIG12
Oklahoma Sooners,BIG12
Oklahoma State Cowboys,BIG12
TCU Horned Frogs,BIG12
Texas Longhorns,BIG12
Texas Tech Red Raiders,BIG12
West Virginia Mountaineers,BIG12
BYU Cougars,BIG12
Butler Bulldogs,BIGEAST
Connecticut Huskies,BIGEAST
Creighton Bluejays,BIGEAST
DePaul Blue Demons,BIGEAST
Georgetown Hoyas,BIGEAST
Marquette Golden Eagles,BIGEAST
Providence Friars,BIGEAST
Saint John`s Red Storm,BIGEAST
Seton Hall Pirates,BIGEAST
Villanova Wildcats,BIGEAST
Xavier Musketeers,BIGEAST
Eastern Washington Eagles,BIGSKY
Idaho State Bengals,BIGSKY
Idaho Vandals,BIGSKY
Montana Grizzlies,BIGSKY
Montana State Bobcats,BIGSKY
Northern Arizona Lumberjacks,BIGSKY
Northern Colorado Bears,BIGSKY
Portland State Vikings,BIGSKY
Sacramento State Hornets,BIGSKY
Weber State Wildcats,BIGSKY
Charleston Southern Buccaneers,BIGSOUTH
Gardner-Webb Runnin Bulldogs,BIGSOUTH
High Point Panthers,BIGSOUTH
Longwood Lancers,BIGSOUTH
Presbyterian Blue Hose,BIGSOUTH
Radford Highlanders,BIGSOUTH
South Carolina Upstate Spartans,BIGSOUTH
UNC Asheville Bulldogs,BIGSOUTH
