ID,Visitor,Visitor_ID,ScoreVis,Home,Home_ID,ScoreHome,GameStatus,Overtime,Winner_ID,Loser_ID,GameDay,GameNo,Neutral
1244988,Abilene Christian Wildcats,581,62,California Baptist Lancers,5049,69,Final,N,5049,581,3/7/2023,{},1
1238208,Abilene Christian Wildcats,581,54,Sam Houston State Bearkats,251,72,Final,N,251,581,3/3/2023,1,0
1238206,Utah Valley Wolverines,562,66,Abilene Christian Wildcats,581,62,Final,N,562,581,2/25/2023,1,0
1238205,Stephen F. Austin Lumberjacks,468,91,Abilene Christian Wildcats,581,87,Final,2OT,468,581,2/22/2023,1,0
1238204,Abilene Christian Wildcats,581,84,Grand Canyon Antelopes,579,94,Final,N,579,581,2/17/2023,1,0
1238202,Sam Houston State Bearkats,251,77,Abilene Christian Wildcats,581,62,Final,N,251,581,2/11/2023,1,0
1238201,Abilene Christian Wildcats,581,87,California Baptist Lancers,5049,71,Final,N,581,5049,2/4/2023,1,0
1238200,Abilene Christian Wildcats,581,83,Seattle Redhawks,565,68,Final,N,581,565,2/1/2023,1,0
1243973,Utah Tech Trailblazers,11200,76,Abilene Christian Wildcats,581,81,Final,N,581,11200,1/28/2023,1,0
1238198,Grand Canyon Antelopes,579,75,Abilene Christian Wildcats,581,73,Final,N,579,581,1/26/2023,1,0
1238197,Texas-Arlington Mavericks,282,68,Abilene Christian Wildcats,581,84,Final,N,581,282,1/21/2023,1,0
1238196,Abilene Christian Wildcats,581,54,Utah Valley Wolverines,562,84,Final,N,562,581,1/18/2023,1,0
1238195,Abilene Christian Wildcats,581,63,Tarleton State Texans,11198,72,Final,N,11198,581,1/14/2023,1,0
1238194,Abilene Christian Wildcats,581,86,Texas-Rio Grande Valley Vaqueros,404,103,Final,N,404,581,1/11/2023,1,0
1238193,Southern Utah Thunderbirds,402,74,Abilene Christian Wildcats,581,72,Final,N,402,581,1/7/2023,1,0
1238192,Tarleton State Texans,11198,63,Abilene Christian Wildcats,581,69,Final,N,581,11198,12/31/2022,1,0
1238191,Abilene Christian Wildcats,581,68,Stephen F. Austin Lumberjacks,468,75,Final,N,468,581,12/29/2022,1,0
1238190,Howard Payne,4000,52,Abilene Christian Wildcats,581,113,Final,N,581,4000,12/21/2022,1,0
1238189,Abilene Christian Wildcats,581,65,Cal State Bakersfield Roadrunners,571,59,Final,N,581,571,12/17/2022,1,0
1238188,Texas A&amp;M-Commerce Lions,11202,64,Abilene Christian Wildcats,581,83,Final,N,581,11202,12/10/2022,1,0
1238187,Abilene Christian Wildcats,581,64,Kansas State Wildcats,377,81,Final,N,377,581,12/6/2022,1,0
1238186,Arlington Baptist,4000,42,Abilene Christian Wildcats,581,88,Final,N,581,4000,12/3/2022,1,0
1238185,North American,4000,46,Abilene Christian Wildcats,581,93,Final,N,581,4000,11/30/2022,1,0
1238184,Abilene Christian Wildcats,581,92,Northern Arizona Lumberjacks,322,82,Final,N,581,322,11/27/2022,1,0
1244171,Abilene Christian Wildcats,581,65,UC Riverside Highlanders,549,76,Final,N,549,581,11/23/2022,{},1
1244267,Weber State Wildcats,417,77,Abilene Christian Wildcats,581,67,Final,N,417,581,11/22/2022,{},1
1244092,Abilene Christian Wildcats,581,61,Wright State Raiders,421,77,Final,N,421,581,11/21/2022,{},1
1238180,McMurry,4000,46,Abilene Christian Wildcats,581,104,Final,N,581,4000,11/15/2022,1,0
1238179,Abilene Christian Wildcats,581,58,Texas A&amp;M Aggies,233,77,Final,N,233,581,11/11/2022,1,0
1238178,Jackson State Tigers,373,56,Abilene Christian Wildcats,581,65,Final,N,581,373,11/7/2022,1,0
1244897,Air Force Falcons,440,70,UNLV Runnin Rebels,424,78,Final,N,424,440,3/8/2023,1,0
1238239,San Jose State Spartans,429,63,Air Force Falcons,440,61,Final,N,429,440,3/4/2023,1,0
1238238,Air Force Falcons,440,53,UNLV Runnin Rebels,424,54,Final,N,424,440,2/24/2023,1,0
1238237,Fresno State Bulldogs,265,74,Air Force Falcons,440,69,Final,N,265,440,2/21/2023,1,0
1244715,Air Force Falcons,440,75,Wyoming Cowboys,423,69,Final,N,440,423,2/17/2023,1,0
1238235,Air Force Falcons,440,65,Utah State Aggies,351,80,Final,N,351,440,2/14/2023,1,0
1238234,New Mexico Lobos,283,77,Air Force Falcons,440,89,Final,N,440,283,2/10/2023,1,0
1238233,Colorado State Rams,360,69,Air Force Falcons,440,53,Final,N,360,440,2/7/2023,1,0
1238232,Air Force Falcons,440,52,Nevada Wolf Pack,302,72,Final,N,302,440,2/3/2023,1,0
1238231,Boise State Broncos,244,59,Air Force Falcons,440,52,Final,N,244,440,1/31/2023,1,0
1238230,Air Force Falcons,440,73,New Mexico Lobos,283,81,Final,N,283,440,1/27/2023,1,0
1238229,Air Force Falcons,440,52,San Jose State Spartans,429,82,Final,N,429,440,1/24/2023,1,0
1238228,San Diego State Aztecs,323,70,Air Force Falcons,440,60,Final,N,323,440,1/21/2023,1,0
1238227,Wyoming Cowboys,423,74,Air Force Falcons,440,82,Final,N,440,423,1/17/2023,1,0
1238226,Air Force Falcons,440,51,Fresno State Bulldogs,265,48,Final,N,440,265,1/14/2023,1,0
